######################################################
# Ecart TAI-UTC en secondes en fonction du jour julien
#
# Description :
# Colonne 1 : Jour julien
# Colonne 2 : Ecart TAI-UTC (en secondes)
# Colonne 3 : (commentaire) Date de debut de validite
######################################################
2441317.5    +10 # 1972-01-01
2441499.5    +11 # 1972-07-01
2441683.5    +12 # 1973-01-01
2442048.5    +13 # 1974-01-01
2442413.5    +14 # 1975-01-01
2442778.5    +15 # 1976-01-01
2443144.5    +16 # 1977-01-01
2443509.5    +17 # 1978-01-01
2443874.5    +18 # 1979-01-01
2444239.5    +19 # 1980-01-01
2444786.5    +20 # 1981-07-01
2445151.5    +21 # 1982-07-01
2445516.5    +22 # 1983-07-01
2446247.5    +23 # 1985-07-01
2447161.5    +24 # 1988-01-01
2447892.5    +25 # 1990-01-01
2448257.5    +26 # 1991-01-01
2448804.5    +27 # 1992-07-01
2449169.5    +28 # 1993-07-01
2449534.5    +29 # 1994-07-01
2450083.5    +30 # 1996-01-01
2450630.5    +31 # 1997-07-01
2451179.5    +32 # 1999-01-01
2453736.5    +33 # 2006-01-01
2454832.5    +34 # 2009-01-01
2456109.5    +35 # 2012-07-01
2457204.5    +36 # 2015-07-01
